# List of standard transcriptions of foreign names in to Chinese
# Data collected from http://www.chinese-tools.com/names 2010-02-07
# Name	Hanzi	Pinyin
Didiane	迪迪安	Dí dí ān
Didier	迪迭	Dí dié
Diego	迭戈	Dié gē
Dienes	甸内斯	Diàn nèi sī
Dihya	蒂娅	Dì yà
Dilami	蒂拉米	Dì lā mǐ
Dimas	迪马斯	Dí mǎ sī
Dimitri	迪米特里	Dí mǐ té lǐ
Dina	迪娜	Dí nà
Dinarte	蒂纳尔特	Dì nà ěr tè
Dinio	迪尼噢	Dí ní ō
Dinis	迪尼斯	Dí ní sī
Dino	蒂诺	Dì nuò
Dinorah	蒂诺拉	Dì nuò lā
Díogenes	迪奥赫内斯	Dí ào hè nèi sī
Diogo	迪奥格	Dí ào gé
Díomedes	迪奥梅德斯	Dí ào méi dé sī
Dione	蒂恩	Dì ēn
Dionisia	迪奥尼西娅	Dí ào ní xī yà
Dionisio	迪奥尼西奥	Dí ào ní xī ào
Dirceu	迪尔扫	Dí ěr sǎo
Ditry	迪特里	Dí tè lǐ
Divya	蒂维雅	Dì wéi yǎ
Djamel	贾米尔	Jiǎ mǐ ěr
Djamilla	贾米拉	Jiǎ mǐ lā
Djayna	杰娜	Jié nà
DJeneba	杰娜巴	Jié nà Bā
Djulian	朱丽安	Zhū lì ān
Dobromira	多布罗米拉	Duō bù luō mǐ lā
Doinita	托瓦妮塔	Tuō wǎ nī tǎ
Doll	多尔	Duō ěr
Dolly	多里	Duō lǐ
Dolo	多洛	Duō luò
Dolores	多洛雷斯	Duō luò léi sī
Dolors	朵萝丝	Duǒ Luó sī
Domènec	多梅内克	Duō Méi nèi kè
Domi	多米	Duō mǐ
Domiciano	多米西亚诺	Duō mǐ xī yà nuò
Domingo	多明戈	Duō míng gē
Domingos	多明戈斯	Duō míng gē sī
Dominic	多米尼克	Duō mǐ ní kè
Dominica	多米尼克	Duō mǐ ní kè
Dominik	多米尼克	Duō mǐ ní kè
Dominika	多米尼克	Duō mǐ ní kè
Dominique	多米尼克	Duō mǐ ní kè
Domitila	多密缇拉	Duō mì tí lā
Domitille	多米蒂耶	Duō mǐ dì yē
Don	唐	Táng
Donald	唐纳德	Táng nà dé
Donat	多纳	Duō nà
Donat	多纳特	Duō nà tè
Donatello	多纳特罗	Duō nà tè luó
Donatien	多纳西恩	Duō nà xī ēn
Donato	多纳托	Duō nà tuō
Donay	多内	Duō nèi
Donna	唐娜	Táng nà
Donny	唐尼	Táng ní
Donovan	多诺万	Duō nuò wàn
Dora	多拉	Duō lā
Doreen	多琳	Duō lín
Dores	多莱丝	Duō lái sī
Dori	多利	Duō lì
Dorian	多里安	Duō lǐ ān
Doriane	多里安	Duō lǐ ān
Dorianne	多丽安	Duō lì ān
Dorine	多琳	Duō lín
Doris	多丽丝	Duō lí sī
Dorit	多利特	Duō lì tè
Dorota	多罗塔	Duō luó tǎ
Dorotea	多罗特阿	Duō luó tè ā
Dorotéia	多萝特莉娅	Duō luó tè lì yà
Dorothée	多罗泰	Duō luō tài
Dorothy	多萝西	Duō luó xī
Dorraine	多瑞恩	Duō ruì ēn
Dorssaf	多尔萨夫	Duō ěr sà fū
Douglas	道格拉斯	Dào gé lā sī
Dounia	杜妮娅	Dù nī yà
Dourado	兜拉多	Dōu lā duō
Drezan	德雷赞	Dé léi zàn
Driss	德莉丝	Dé lì sī
Duarte	杜阿尔特	Dù ā ěr tè
Duda	杜达	Dù dá
Dulcie	达尔西	Dá ěr xī
Duncan	邓肯	Dèng kěn
Dundy	邓迪	Dèng dí
Durval	杜尔瓦	Dù ěr wǎ
Dylan	迪伦	Dí lún
Dywane	迪万	Dí wàn
Dzejlan	泽兰	Zé lán
Eberha	埃贝拉	Aī Bèi lā
Eberton	埃贝屯	Aī Bèi tún
Ecker	埃克	Aī kè
Eddie	艾迪	Aì dí
Eddy	艾迪	Aì dí
Edeline	艾德琳	Aì dé lín
Eden	伊甸	Yī diàn
Éder	埃德	Aī dé
Ederson	埃德森	Aī dé sēn
Edgar	埃德加	Aī dé jiā
Edgardo	埃德加多	Aī dé jiā duō
Edilberto	埃迪尔韦托	Aī dí rwéi tuō
Edilmar	艾迪马	Aì dí Mǎ
Edimilson	埃迪米森	Aī dí mǐ sēn
Edinton	阿丁屯	Ā dīng tún
Edirlene	艾蒂莲	Aì dì lián
Edison	埃迪森	Aī dí sēn
Edite	艾蒂特	Aì dì tè
Edith	埃迪特	Aī dí té
Edmar	埃德马	Aī dé Mǎ
Edmé	埃德米	Aī dé mǐ
Edmée	埃德米	Aī dé mǐ
Edmond	埃德蒙	Aī dé mēng
Edmund	埃德蒙	Aī dé mēng
Edmundo	埃德孟多	Aī dé mèng duō
Edna	艾德娜	Aí dé nà
Edona	埃多娜	Aī duō nà
Edouard	埃德瓦	Aī dé wǎ
Edson	埃德森	Aī dé sēn
Eduard	埃杜瓦尔	Aī dù wǎ ěr
Eduarda	艾杜阿尔达	Aì dù ā ěr dá
Eduardo	埃德华多	Aī dé huá duō
Edurne	诶杜尔内	
Edward	爱德华	Aì dé huā
Edwige	艾德薇日	Aì dé wēi rì
Edwin	埃德温	Aī dé wēn
Edyta	艾蒂塔	Aì dì tǎ
Efigênia	伊翡日妮娅	Yī fěi rì nī yà
Efrain	埃弗拉因	Aī fú lā yīn
Églantine	艾格朗汀	Aì gé lǎng tīng
Eglantine	艾克朗汀	Aì kè lǎng tīng
Eiken	埃肯	Aī kěn
Eileen	艾琳	Aì lín
Eïleen	艾琳	Aì lín
Eilisange	艾黎散各	Aì lí sǎn gè
Ekrie	艾克里	Aì kè lǐ
Eladio	埃拉迪奥	Aī lā dí ào
Elaina	伊莱娜	Yī lái nà
Elaine	伊莲	Yī lián
Elalie	埃拉莉	Aī lā lì
Élder	埃德	Aī dé
Eldonna	艾尔多娜	Aì ěr duō nà
Eléa	伊莉娅	Yī lì yà
Electa	埃莱克塔	Aī lái kè tǎ
Electra	伊莱克特拉	Yī lái kè tè lā
Elena	伊莲娜	Yī lián nà
Eleniudes	艾勒纽戴丝	Aì lè niǔ Dài sī
Elenor	艾莲诺	Aì lián nuò
Eléonore	埃莱奥诺	Aī lái ào nuò
Elessandro	亚历山德罗	Yà lì shān dé luó
Eleuterio	埃莱乌特里奥	Aī lái wū tè lǐ ào
Eli	艾黎	Aì lí
Élia	艾利阿	Aì lì Ā
Elian	伊良	Yī liáng
Eliana	艾莉安娜	Aì lì ān nà
Eliane	艾莉安	Aì lì ān
Eliangela	艾莲杰拉	Aì lián Jié lā
Elias	埃利亚斯	Aī lì yà sī
Elicia	艾莉西娅	Aì lì xī yà
Elida	埃利达	Aī lì dá
Elie	伊利	Yī lì
Elie	艾利	Aì lì
Eliès	艾列丝	Aì liè sī
Eliezer	埃利泽	Aī lì zé
Elif	埃里夫	Aī lǐ fū
Elijah	艾里沙	Aì lǐ Shā
Elin	艾琳	Aì lín
Elina	艾莉娜	Aì lì nà
Éline	艾琳	Aì lín
Elineldo	艾黎内多	Aì lí nèi duō
Elio	埃利奥	Aī lì ào
Eliona	埃利奥娜	Aī lì ào nà
Eliott	艾略特	Aì lüè tè
Elisa	爱丽莎	Aì lí shā
Elisabete	伊丽莎贝特	Yī lì shā bèi tè
Elisabeth	伊丽莎白	Yī lí shā bái
Elise	爱丽丝	Aì lí sī
Elisenda	艾莉森达	Aì lì sēn dá
Eliseo	埃利塞噢	Aī lì sāi ō
Elisete	艾黎瑟特	Aì lí sè tè
Eliseu	艾莉苏	Aì lì Sū
Elisia	艾丽霞	Aì lì xiá
Elislaine	爱丽丝莲	Aì lì sī lián
Elissa	艾莉萨	Aì lì sà
Elizabeth	伊丽莎白	Yī lì shā bái
Elke	埃尔克	Aī ěr kè
Elkhansae	爱龛赛	Aì kān sài
Ella	艾拉	Aì lā
Elle	艾莉	Aì lì
Ellen	艾伦	Aì lún
Elliot	艾略特	Aì lüè tè
Elliott	艾略特	Aì lüè tè
Elmer	埃尔梅	Aī ěr Méi
Eloane	艾罗安	Aì luó ān
Elodie	艾洛蒂	Aì luò dì
Éloé	艾露	Aì Lù
Eloi	埃洛伊	Aī luò yī
Elóisa	埃洛伊萨	Aī luò yī sà
Eloïse	艾萝伊丝	Aì luó yī sī
Eloise	艾萝依	Aì luó yī
Éloïze	艾露伊丝	Aì Lù Yī sī
Elona	伊罗娜	Yī luó nà
Elora	伊劳拉	Yī láo lā
Elora	伊劳拉	Yī láo lā
Elorie	艾洛丽	Aì luò lì
Elouan	埃鸾	Aī luán
Eloy	埃洛伊	Aī luò yī
Elsa	艾尔莎	Aì ěr shā
Elseline	艾尔斯琳	Aì ěr sī lín
Elson	埃尔孙	Aī ěr sūn
Elton	埃尔顿	Aī ěr dùn
Elvin	埃尔温	Aī ěr wēn
Elvira	埃尔维拉	Aī rwéi lā
Elvira	艾玮拉	Aì wěi lā
Elvire	艾尔维	Aì erwéi
Elvis	埃尔维斯	Aī ěr wéi sī
Elwyn	艾尔雯	Aì ěr wén
Elyès	伊莉艾丝	Yī lì ài sī
Elyna	爱丽娜	Aì lì nà
Elyse	艾丽丝	Aì lì sī
Elysia	爱丽霞	Aì lì xiá
Elżbieta	艾热别塔	Aì rè biè tǎ
Emanuel	埃曼努埃尔	Aī màn nǔ āi ěr
Emanuela	艾玛努艾拉	Aì Mǎ nǔ Aì lā
Emanuil	埃曼努埃尔	Aī màn nǔ āi ěr
Émélie	艾梅丽	Aì méi lì
Emelie	艾梅丽	Aì Méi lì
Emelinda	艾梅林达	Aì méi lín dá
Emeline	艾米琳	Aī mǐ lín
Emely	艾梅丽	Aì mé lì
Emelyne	艾米琳	Aī mǐ lín
Emer	尹美尔	Yǐn měi ěr
Emerick	埃默里克	Aī mò lǐ kè
Emerico	埃梅里克	Aī méi lǐ kè
Emeriza	艾米莉萨	Aì mǐ lì sà
Emerson	艾姆森	Aì mǔ sēn
Émerson	峨嵋森	É méi sēn
Emeterio	埃梅特里奥	Aī méi tè lǐ ào
Émi	艾米	Aì mǐ
Emi	艾米	Aì mǐ
Emie	艾米	Aì mǐ
Emiko	埃米科	Aī mǐ Kē
Emile	埃米尔	Aī mǐ er
Emili	埃米利	Aī mǐ lì
Emilia	埃米利亚	Aī mǐ lì yà
Emilia	艾蜜莉芽	Aì Mì lì yá
Emiliane	艾迷恋	Aì mí liàn
Emiliano	埃米利亚诺	Aī mǐ lì yà nuò
Emilie	艾米莉	Aì mǐ lì
Emilien	埃米利安	Aī mǐ lì ān
Emilienne	艾米莲	Aì mǐ lián
Emilija	艾蜜莉芽	Aì Mì lì yá
Emilio	埃米莉噢	Aī mǐ lì ō
Emilse	埃米尔斯	Aī mǐ ěr sī
Emily	艾米莉	Aì mǐ lì
Emir	埃米尔	Aī mǐ ěr
Emma	艾玛	Aì mǎ
Emmanuel	埃曼努埃尔	Aī màn nǔ āi er
Emmanuella	伊曼纽艾拉	Yī màn niǔ ài lā
Emmanuelle	伊曼纽尔	Yī màn niǔ er
Emmy	艾米	Aì mǐ
Emna	艾木娜	Aì mù nà
Emre	伊默烈	Yī mò liè
Emrys	埃默里斯	Aī mò lǐ sī
Emy	艾米	Aì mǐ
Enaëlle	艾娜尔	Aì nà ěr
Encarnación	化身	Huà shēn
Endika	恩蒂卡	Ēn dì kǎ
Enéa	艾内娅	Aì nèi yà
Enéas	埃内阿斯	Aī nèi ā sī
Énerica	婀内丽卡	Ē nèi lì Kǎ
Énerika	婀内丽卡	Ē nèi lì Kǎ
Eneritz	埃内利特	Aī nèi lì tè
enfermagem	护士	Hù shì
Engracia	恩格拉西亚	Ēn gé lā xī yà
Enguerrand	盎格朗	Àng gé lǎng
Enie	艾妮	Aì nī
Enis	埃尼斯	Aī ní sī
Ennio	恩尼奥	Ēn ní ào
Enola	婀娜拉	Ē nuó lā
Enora	伊诺拉	Yī nuò lā
Enos	艾诺斯	Aì nuò sī
Enric	恩里克	Ēn lǐ kè
Enrick	盎利克	Àng lì kè
Enrico	恩里科	Ēn lǐ kē
Enrique	恩里克	Ēn lǐ kè
Enriqueta	恩里克塔	Ēn lǐ kè tǎ
Enzo	恩佐	Ēn zuǒ
Eolia	埃奥利阿	Aī ào lì Ā
Erasmo	埃拉斯莫	Aī lā sī mò
Erendira	埃伦蒂拉	Aī lún dì lā
Eriberto	埃里贝托	Aī lǐ Bèi tuō
Eric	艾里克	Aī lǐ kè
Erica	艾丽卡	Aì lí kǎ
Érica	埃里卡	Aī lǐ Kǎ
Erick	埃里克	Aī lǐ kè
Érico	埃里克	Aī lǐ kè
Erik	艾黎科	Aì lí Kē
Erika	艾丽卡	Aì lí kǎ
Erin	伊琳	Yī lín
Érina	艾莉娜	Aì lì nà
Erine	艾琳	Aì lín
Ermenegildo	埃梅内吉尔多	Aī méi nèi jí ěr duō
Ernesto	埃内斯托	Aī nèi sī tuō
Ernst	恩斯特	Ēn sī tè
Eros	艾罗斯	Aì luó sī
Ersin	艾尔新	Aì ěr Xīn
Ervann	艾万	Aì wàn
Erwan	艾万	Aì wàn
Erwann	艾万	Aì wàn
Erwin	埃尔温	Aī ěr wēn
Eryn	艾琳	Aì lín
Esdras	艾丝德拉丝	Aì sī dé lā sī
Esma	艾丝玛	Aì sī mǎ
Esmeralda	埃斯梅拉达	Aī sī méi lā dá
Esperanza	埃斯佩兰萨	Aī sī pèi lán sà
Estanislao	埃斯塔尼斯劳	Aī sī tǎ ní sī láo
Esteban	埃斯特班	Aī sī tè bān
Estée	艾丝泰	Aì sī tài
Estefan	Aī	sī tè fāng
Estefanía	埃斯特法尼亚	Aī sī tè fǎ ní yà
Estefanny	艾斯蒂法妮	Aì sī dì Fǎ nī
Estefano	埃斯特法诺	Aī sī tè fǎ nuò
Estefany	艾丝蒂凡妮	Aì sī dì fán nī
Estel	艾丝泰	Aì sī Tài
Estela	埃斯特拉	Aī sī tè lā
Estelle	埃斯特尔	Aī sī té er
Ester	埃斯特尔	Aī sī tèr
Ester	艾丝泰	Aì sī Tài
Estêvão	埃斯泰瓦	Aī sī tài wǎ
Esteve	埃斯特韦	Aī sī tè wéi
Estève	埃斯特夫	Aī sī tè fū
Esther	以斯帖	Yǐ sī tiě
Estibaliz	埃斯蒂帕利	Aī sī dì pà lì
Estrella	埃斯特雷利亚	Aī sī tè léi lì yà
Ethan	伊桑	Yī sāng
Ethan	伊覃	Yī tán
Etienne	伊天	Yī tiān
Euclides	欧克利德斯	Oū kè lì dé sī
Eufemia	欧菲米娅	Oū fēi mǐ yà
Eufemio	欧费米奥	Oū fèi mǐ ào
Eufrasio	欧弗拉西奥	Oū fú lā xī ào
Eufrosina	欧弗拉西娜	Oū fú lā xī nà
Eugene	尤金	Yóu jīn
Eugène	尤金	Yóu jīn
Eugenia	欧亨尼娅	Oū hēng ní yà
Eugênia	欧日妮娅	Oū rì nī yà
Eugénie	欧热妮	Oū rè nī
Eugenio	欧亨尼奥	Oū hēng ní ào
Eugênio	欧日尼奥	Oū rì ní ào
Eulalia	欧拉利亚	Oū lā lì yà
Eulália	欧拉莉娅	Oū lā lì yà
Eulàlia	欧拉莉芽	Oū lā lì yá
Eulalie	欧拉莉	Oū lā lì
Eulogia	欧洛希亚	Oū luò xī yà
Eulogio	欧洛希奥	Oū luò xī ào
Eunice	欧妮斯	Oū nī sī
Eunir	欧尼尔	Oū ní ěr
Eurico	欧利科	Oū lì Kē
Eurimar	埃里马尔	Aī lǐ Mǎ ěr
Eurydice	欧里底斯	Oū lǐ dǐ sī
Eusebio	欧塞维奥	Oū sài wéi ào
Eustache	欧斯塔施	Oū sī tǎ shī
Eustaquio	欧斯塔基奥	Oū sī tǎ jī ào
Eutimio	欧蒂米奥	Oū dì mǐ ào
Eva	伊娃	Yī wá
Evan	伊万	Yī wàn
Evander	艾文达	Aì wén dá
Evandro	艾婉德萝	Aì wǎn dé Luó
Evane	伊范	Yī Fàn
Evangeline	伊文捷琳	Yī wén jié lín
Évanie	伊范妮	Yī fàn nī
Evans	埃文斯	Aī wén sī
Evariste	伊瓦莉丝特	Yī wǎ lì sī tè
Evaristo	埃瓦里斯托	Aī wǎ lǐ sī tuō
Eve	伊夫	Yī fū
Ève-Marie	伊夫玛丽	Yī fū Mǎ lì
Eveline	艾维琳	Aì wéi lín
Evelyn	艾芙琳	Aì fú lín
Evelyne	艾芙琳	Aì fú lín
Evens	伊文斯	Yī wén sī
Everton	艾维屯	Aì wéi tún
Evie	艾维	Aì wéi
Évy	艾维	Aì wéi
Ewa	艾瓦	Aì wǎ
Ewald	埃瓦德	Aī wǎ dé
Ewan	伊万	Yī wàn
Ewelina	艾薇莉娜	Aì wēi lì nà
Ewen	艾文	Aì wén
Éwen	艾文	Aì wén
Exocé	埃克索色	Aī kè suǒ sè
Ezequiel	埃塞基耶尔	Aī sài jī yēr
Fabián	法维安	Fǎ wéi ān
Fabian	法比安	Fǎ bǐ ān
Fabiana	法碧安娜	Fǎ bì ān nà
Fabiane	法碧安	Fǎ bì ān
Fabiano	法比阿诺	Fǎ bǐ Ā nuò
Fabião	法比安	Fǎ bǐ ān
Fabien	法比安	Fǎ bǐ ān
Fabienne	法碧恩	Fǎ bì ēn
Fabila	法维拉	Fǎ wéi lā
Fabio	法比奥	Fǎ bǐ ào
Fábio	法比奥	Fǎ bǐ ào
Fabiola	法维奥拉	Fǎ wéi ào lā
Fabrice	法布里斯	Fǎ bù lǐ sī
Fabriciano	法夫里西亚诺	Fǎ fū lǐ xī yà nuò
Fabricio	法布里秀	Fǎ Bù lǐ Xiù
Fabrizio	法布利修	Fǎ Bù lì xiū
Facundo	法昆多	Fǎ kūn duō
Fadellah	法德拉	Fǎ dé lā
Fadma	法蒂玛	Fǎ dì Mǎ
Faey	斐	Fēi
Fairouz	非胡斯	Fēi hú sī
Fairuz	非胡斯	Fēi hú sī
Faiz	法依兹	Fǎ Yī zī
Fakher	法克尔	Fǎ kè ěr
Falp	菲尔普	Fēi ěr Pǔ
Falzia	法尔嘉	Fǎ ěr Jiā
Fanchon	芳淑	Fāng shū
Fancy	范茜	Fàn xī
Fanfan	芳芳	Fāng fāng
Fani	法妮	Fǎ nī
Fanny	范妮	Fàn nī
Fantine	芳汀	Fāng tīng
Farès	法赫斯	Fǎ hè sī
Fares	法尔	Fǎ ěr
Farhan	法涵	Fǎ hán
Farid	法利德	Fǎ lì dé
Farida	法丽达	Fǎ lì dá
Faris	法利斯	Fǎ lì sī
Fatima	法蒂玛	Fǎ dì mǎ
Fàtima	法蒂玛	Fǎ dì Mǎ
Fatimzahra	法蒂姆佐拉	Fǎ dì mǔ zuǒ lā
Fatin	法婷	Fǎ tíng
Fatoumata	法芏玛打	Fǎ dù Mǎ dǎ
Faudel	佛德尔	Fó dé ěr
Faust	浮士德	Fú shì dé
Faustin	福斯坦	Fú sī tǎn
Faustine	福斯汀	Fú sī tīng
Faustino	福斯蒂诺	Fú sī dì nuò
Fausto	福斯托	Fú sī tuō
Favio	法维哦	Fǎ wéi ó
Faya	法娅	Fǎ yà
Faye	斐	Fěi
Fayou	法伊乌	Fǎ Yī Wū
Fayrouz	飞虎斯	Fēi hǔ sī
Fayza	法伊扎	Fǎ Yī zā
Fe	费	Fèi
Federica	费德丽卡	Fèi dé lì kǎ
Federico	费德里科	Fèi dé lǐ kē
Fedra	费德拉	Fèi dé lā
Fedro	费德罗	Fèi dé luó
Felicia	菲莉西亚	Fēi lì xī yà
Félicia	菲莉夏	Fēi lì Xià
Feliciano	费利西亚诺	Fèi lì xī yà nuò
Felicidade	菲莉茜达德	Fēi lì xī dá dé
Félicie	菲莉丝	Fēi lì sī
Felicísimo	费利西西莫	Fèi lì xī xī mò
Felicitat	菲莉茜塔	Fēi lì xī tǎ
Felicity	幸福	Xìng Fú
Felip	飞利浦	Fēi lì pǔ
Felipa	费利帕	Fèi lì pà
Felipa	菲莉葩	Fēi lì pā
Felipe	费利佩	Fèi lì pèi
Felisa	费利萨	Fèi lì sà
Feliu	菲柳	Fēi liǔ
Felix	费利克斯	Fèi lì kè sī
Feliz	费利茨	Fèi lì cí
Fenda	吩大	Fēn dà
Ferdaous	斐尔塔乌斯	Fēi ěr tǎ Wū sī
Ferduw	菲尔杜	Fēi ěr dù
Fergal	弗加尔	Fú jiā ěr
Fermí	菲尔敏	Fēi ěr mǐn
Fermín	费尔明	Fèi rmíng
Fernán	费尔南	Fèi rnán
Fernand	费尔囊	Fèi ěr náng
Fernanda	费尔南塔	Fèi rnán tǎ
Fernande	费尔南德	Fèi ěr nán dé
Fernando	费尔南多	Fèi ěr nán duō
Fernão	费尔南	Fèi ěr nán
Ferran	费兰	Fèi lán
Ferran	菲朗	Fēi lǎng
Ferrão	费兰	Fèi lán
Feten	斐覃	Fěi tán
Fettah	菲塔	Fēi tǎ
Ffion	菲昂	Fēi áng
Fidel	菲德尔	Fēi dér
Fidjy	费奇	Fèi qí
Filat	费拉特	Fèi lā tè
Filemón	菲莱蒙	Fēi lái méng
Filiberto	菲利维托	Fēi lì wéi tuō
Filip	菲力浦	Fēi lì pǔ
Filipa	菲莉帕	Fēi lì pà
Filipe	菲利佩	Fēi lì pèi
Filippo	菲利波	Fēi lì bō
Filomena	菲洛梅娜	Fēi luò méi nà
Finbar	芬巴	Fēn bā
Finki	芬科	Fēn Kē
Fiona	菲奥娜	Fēi ào nà
Fiore	菲奥雷	Fēi ào léi
Fiorella	菲奥雷垃	Fēi ào léi
Flavia	弗拉维亚	Fú lā wéi yà
Flávia	弗拉维娅	Fú lā wéi yà
Flaviano	弗拉维亚诺	Fú lā wéi yà nuò
Flavie	弗拉维	Fú lā wéi
Flavio	弗拉维奥	Fú lā wéi ào
Flávio	弗拉维奥	Fú lā wéi ào
Fleur	弗璐尔	Fú Lù ěr
Flo	弗罗	Fú luó
Flor	弗落尔	Fú luò r
Flora	弗罗拉	Fú luō lā
Florane	弗罗兰	Fú luó lán
Flore	弗落尔	Fú luò r
Floréla	弗洛蕾娅	Fú luò lěi yà
Florelle	弗落蕾勒	Fú luò lěi lè
Florence	佛罗伦丝	Fó luó lén sī
Florencia	弗洛伦西亚	Fú luò lún xī yà
Florencio	弗洛伦西奥	Fú luò lún xī ào
Florent	弗劳杭	Fú láo háng
Florentin	弗洛朗汀	Fú luò lǎng tīng
Florentine	弗劳杭汀	Fú láo háng tīng
Florentino	弗洛伦蒂诺	Fú luò lún dì nuò
Florian	弗洛里安	Fú luò lǐ ān
Floriane	弗洛莉安	Fú luò lì ān
Floriano	弗洛里阿诺	Fú luò lǐ Ā nuò
Florie	弗罗丽	Fú luó lì
Florine	芙罗琳	Fú luó lín
Flynn	弗琳	Fú lín
Fofucho	佛福稠	Fó Fú chóu
Fonseca	冯色卡	Féng sè Kǎ
Forest	佛雷斯特	Fó léi sī tè
Fortunata	佛尔图娜塔	Fó ěr tú nà tǎ
Fortunato	福尔图纳托	Fú rtú nà tuō
Fouzia	弗茜娅	Fú xī yà
Fox	福克斯	Fú kè sī
Fraj	弗拉热	Fú lā rè
Fran	富兰	Fù lán
France	弗朗丝	Fú lǎng sī
Francelle	弗朗塞尔	Fú lǎng Sāi ěr
Francesc	弗朗塞斯	Fú lǎng Sāi sī
Francesca	弗朗西斯卡	Fú lǎng xī sī kǎ
Francesco	弗朗西斯科	Fú lǎng xī sī kē
Franceska	弗兰西斯卡	Fú lán xī sī kǎ
Francette	弗朗丝特	Fú lǎng sī tè
Franciane	弗朗西安	Fú lǎng xī ān
Franciele	福朗谢	Fú lǎng Xiè
Franciellen	弗朗西伦	Fú lǎng xī lún
Francielli	弗朗谢莉	Fú lǎng Xiè lì
Francine	弗朗辛	Fú lǎng xīn
Francis	弗朗西斯	Fú lǎng xī sī
Francisca	弗朗西斯卡	Fú lǎng xī sī kǎ
Francisco	弗朗西斯科	Fú lǎng xī sī kē
Franck	富兰克	Fù lán kè
Francklin	富兰克林	Fù lán kè lín
François	弗朗索瓦	Fú láng suǒ wǎ
Françoise	弗朗索瓦丝	Fú lǎng suǒ wǎ sī
Frank	弗兰克	Fú lán kè
Frankie	弗兰克	Fú lán kè
Franklin	富兰克林	Fù lán kè lín
Franky	弗兰克	Fú lán kè
Frans	弗兰斯	Fú lán sī
Franz	法兰兹	Fú lán zī
Franziska	弗兰其丝卡	Fú lán qí sī kǎ
Fraser	弗雷丝	Fú léi sī
Fred	弗雷德	Fú léi dé
Freddy	弗雷迪	Fú léi dí
Fredegunda	弗雷德贡达	Fú léi dé gòng dá
Frédéric	弗雷德里克	Fú léi dé lǐ kè
Frederic	弗雷德里克	Fú léi dé lǐ kè
Fredericke	弗雷德里克	Fú léi dé lǐ kè
Frederico	弗雷德里克	Fú léi dé lǐ kè
Frédérique	弗雷德里克	Fú léi dé lǐ kè
Fredi	弗雷蒂	Fú léi dì
Frida	弗里达	Fú lǐ dá
Friday	弗莱达	Fú lái dá
Friedrich	弗里德里希	Fú lǐ delǐ xī
Frine	弗理内	Fú lǐ nèi
Fritz	弗里茨	Fú lǐ cí
Froila	弗罗伊拉	Fú luó yī lā
Froilan	弗罗伊兰	Fú luó yī lán
Fructuós	福鲁克托斯	Fú lǔ kè tuō sī
Fructuoso	弗鲁克托索	Fú lǔ kè tuō suǒ
Fuente	富恩特	Fù ēn tè
Fulgencio	富尔亨西奥	Fù rhēng xī ào
Fúlvia	弗尔维亚	Fú ěr wéi yà
Fúlvio	弗尔维奥	Fú ěr wéi ào
Gab	加布	Jiā Bù
Gabi	加比	Jiā bǐ
Gabin	加宾	Jiā bīn
Gabino	加维诺	Jiā wéi nuò
Gabriel	加布里埃尔	Jiā bù lǐ āi er
Gabriela	加布里艾拉	Jiā bù lǐ ài lā
Gabriele	加布里艾尔	Jiā Bù lǐ Aì ěr
Gabriella	加布里艾尔拉	Jiā Bù lǐ Aì ěr lā
Gabrielle	加布里艾尔	Jiā bù lǐ ài ěr
Gaby	加比	Jiā bǐ
Gadi	贾迪	Jiǎ dí
Gaea	盖娅	Gài yà
Gaël	盖尔	Gài ěr
Gael	盖尔	Gài ěr
Gaëlle	盖尔	Gài ěr
Gaelle	盖尔	Gài ěr
Gaëtan	盖尔唐	Gài ěr táng
Gaétan	盖尔唐	Gài ěr táng
Gaétane	盖尔覃	Gài ěr tán
Gaetano	盖伊塔诺	Gài yī tǎ nuò
Gaïa	盖娅	Gài yà
Gail	盖尔	Gài ěr
Gaizka	盖兹卡	Gài zī kǎ
Galeno	加莱诺	Jiā lái nuò
Galla	嘉拉	Jiā lā
Gallo	公鸡	Gōng jī
Gally	加里	Jiā lǐ
Galo	加洛	Jiā luò
Garance	嘉兰丝	Jiā lán sī
Garance	嘉杭丝	Jiā háng sī
Garcia	加西亚	Jiā xī yà
Gareth	伽雷特	Jiā léi tè
Garin	加林	Jiā lín
Garry	加里	Jiā lǐ
Gary	加里	Jiā lǐ
Gaspar	加斯帕尔	Jiā sī pà r
Gaspard	加斯帕德	Jiā sī pà dé
Gaspard	嘉斯帕	Jiā sī pà
Gaston	卡斯桐	Kǎ sī tóng
Gatien	盖斯昂	Gài sī áng
Gaudencio	高登西奥	Gāo dēng xī ào
Gauthier	戈蒂耶	Gē dì yē
Gautier	戈蒂耶	Gē dì yē
Gavião	贾维奥	Jiǎ wéi ào
Gavilán	贾维兰	Jiǎ wéi lán
Gavin	贾文	Jiǎ wén
Gaye	盖伊	Gài yī
Gaylord	格劳德	Gé láo dé
Gea	吉亚	Jí yà
Gédéon	热德昂	Rè dé áng
Geffereson	戈菲森	Gē Fēi sēn
Gema	杰玛	Jié mǎ
Gemini	杰米尼	Jié mǐ ní
Geminiano	赫米尼亚诺	Hè mǐ ní yà nuò
Géminy	日米尼	Rì mǐ ní
Gemma	杰玛	Jié mǎ
Genaro	格纳罗	Gé nà luó
Génebou	日内布	Rì nèi bù
Génésie	热内西	Rè nèi xī
Geneviève	热纳维耶芙	Rè nà wéi yē fú
