# List of standard transcriptions of foreign names in to Chinese
# Data collected from http://www.chinese-tools.com/names 2010-02-07
# Name	Hanzi	Pinyin
Azib	阿齐	Ā Qí
Azucena	阿苏塞纳	Ā sū sāi nà
Azuela	阿苏埃拉	Ā sū āi lā
Azul	阿苏了	Ā sū le
Azura	阿苏拉	Ā sū lā
Azzaro	阿帀罗	Ā zā luó
Babette	芭贝特	Bā bèi té
Baddih	巴迪	Bā dí
Badria	芭德丽亚	Bā dé lì yà
Badys	芭迪斯	Bā dí sī
Bahar	巴哈	Bā hā
Bailey	贝莉	Bèi lì
Balbino	巴尔维诺	Bā rwéi nuò
Baldomero	巴尔多梅罗	Bā rduō méi luó
Balduíno	巴尔杜伊诺	Bā ěr dù yī nuò
Baldwin	巴尔塔温	Bā ěr tǎ wēn
Balou	巴路	Bā Lù
Baltasar	巴尔塔萨	Bā rtǎ sà
Balthasar	巴尔塔萨	Bā ěr tǎ sà
Bambi	斑比	Bān bǐ
Baptiste	巴蒂斯特	Bā dì sī té
Barb	巴尔布	Bā ěr Bù
Barbara	笆笆拉	Bā bā lā
Barbara	笆笆拉	Bā bā lā
Bárbara	笆笆拉	Bā bā lā
Bärbel	贝尔布	Bèi ěr bù
Barnabé	巴尔纳贝	Bā ěr nà bèi
Barry	巴利	Bā lì
Bart	巴尔特	Bā ěr tè
Bartłomiej	巴尔托米	Bā ěr tuō mǐ
Bartolmeu	巴尔托梅奥	Bā ěr tuō méi ào
Bartolomé	巴托洛梅	Bā tuō luò méi
Bartomeu	巴尔托梅	Bā ěr tuō Méi
Bary	巴利	Bā lì
Basa	巴萨	Bā sà
Basile	巴西勒	Bā xī lè
Basilio	巴西略	Bā xī lüè
Basma	巴丝玛	Bā sī mǎ
Bastian	巴斯蒂昂	Bā sī dì áng
Bastian	巴斯蒂安	Bā sī dì ān
Bastien	巴斯蒂安	Bā sī dì ān
Batista	巴迪斯塔	Bā dí sī tǎ
Batres	巴特雷斯	Bā tè léi sī
Bautista	包蒂斯塔	Bāo dì sī tǎ
Bay	贝	Bèi
Bean	宾	Bīn
Beat	比特	Bǐ tè
Beata	贝塔	Bèi tǎ
Béatrice	贝阿特丽丝	Bèi ā té lí sī
Beatriu	贝芽蒂	Bèi yá dì
Beatriz	贝亚特里斯	Bèi yà tè lǐ sī
Beca	贝卡	Bèi kǎ
Bécassine	贝卡辛	Bèi kǎ xīn
