# Sources of data:
#
# * Frequency and Stroke Counts of Chinese Characters
#   http://technology.chtsai.org/charfreq/
#
# - Mandarin Syllable Frequency Counts for Chinese Characters
#   http://technology.chtsai.org/syllable/
#
# Both are put under GPL by Chih-Hao Tsai.
#
# char	rank	pinyin
#
須	599	xu1
苦	600	ku3
介	601	jie4
效	602	xiao4
首	603	shou3
質	604	zhi2
例	605	li4
唉	606	ai1
職	607	zhi2
復	608	fu4
輸	609	shu1
節	610	jie2
規	611	gui1
注	612	zhu4
畢	613	bi4
查	614	cha2
熱	615	re4
油	616	you2
館	617	guan3
態	618	tai4
停	619	ting2
福	620	fu2
救	621	jiu4
倒	622	dao3
親	623	qin1
害	624	hai4
亂	625	luan4
古	626	gu3
步	627	bu4
寶	628	bao3
擊	629	ji2
舉	630	ju3
終	631	zhong1
嗯	632	en1
印	633	yin4
限	634	xian4
依	635	yi1
斷	636	duan4
輕	637	qing1
環	638	huan2
簡	639	jian3
趣	640	qu4
志	641	zhi4
響	642	xiang3
隨	643	sui2
練	644	lian4
續	645	xu4
魚	646	yu2
篇	647	pian1
司	648	si1
局	649	ju2
送	650	song4
極	651	ji2
角	652	jiao3
省	653	sheng3
源	654	yuan2
陽	655	yang2
幹	656	gan4
習	657	xi2
羅	658	luo2
武	659	wu3
免	660	mian3
疑	661	yi2
拉	662	la1
克	663	ke4
仍	664	reng2
樓	665	lou2
佛	666	fo2
足	667	zu2
低	668	di1
廣	669	guang3
煩	670	fan2
鳥	671	niao3
顯	672	xian3
碼	673	ma3
土	674	tu3
率	675	shuai4
聖	676	sheng4
壞	677	huai4
初	678	chu1
具	679	ju4
預	680	yu4
呀	681	ya1
眾	682	zhong4
責	683	ze2
爭	684	zheng1
兵	685	bing1
智	686	zhi4
誤	687	wu4
境	688	jing4
青	689	qing1
順	690	shun4
野	691	ye3
楚	692	chu3
貴	693	gui4
負	694	fu4
壓	695	ya1
史	696	shi3
適	697	shi4
係	698	xi4
測	699	ce4
懷	700	huai2
迎	701	ying2
配	702	pei4
魔	703	mo2
慢	704	man4
哇	705	wa1
懂	706	dong3
嗚	707	wu1
亦	708	yi4
味	709	wei4
評	710	ping2
舞	711	wu3
細	712	xi4
醫	713	yi1
帝	714	di4
屬	715	shu3
句	716	ju4
戀	717	lian4
敗	718	bai4
宜	719	yi2
楊	720	yang2
甲	721	jia3
追	722	zhui1
灌	723	guan4
春	724	chun1
左	725	zuo3
敢	726	gan3
靈	727	ling2
狂	728	kuang2
際	729	ji4
群	730	qun2
族	731	zu2
木	732	mu4
騎	733	qi2
里	734	li3
項	735	xiang4
戲	736	xi4
遇	737	yu4
狗	738	gou3
佳	739	jia1
博	740	bo2
右	741	you4
痛	742	tong4
營	743	ying2
妹	744	mei4
康	745	kang1
善	746	shan4
徵	747	zheng1
歷	748	li4
官	749	guan1
爾	750	er3
按	751	an4
編	752	bian1
病	753	bing4
護	754	hu4
補	755	bu3
擇	756	ze2
抓	757	zhua1
石	758	shi2
歲	759	sui4
隻	760	zhi1
領	761	ling3
尋	762	xin2
溫	763	wen1
養	764	yang3
止	765	zhi3
守	766	shou3
君	767	jun1
血	768	xie3
田	769	tian2
雨	770	yu3
居	771	ju1
謂	772	wei4
異	773	yi4
優	774	you1
跳	775	tiao4
拜	776	bai4
爛	777	lan4
封	778	feng1
惡	779	e4
良	780	liang2
模	781	mo2
狀	782	zhuang4
浪	783	lang4
聊	784	liao2
增	785	zeng1
核	786	he2
激	787	ji1
維	788	wei2
陸	789	lu4
吳	790	wu2
牛	791	niu2
忙	792	mang2
詞	793	ci2
劇	794	ju4
宿	795	su4
急	796	ji2
啥	797	sha2
抱	798	bao4
靜	799	jing4
攻	800	gong1
亞	801	ya3
江	802	jiang1
致	803	zhi4
陣	804	zhen4
嚴	805	yan2
宗	806	zong1
警	807	jing3
壘	808	lei3
夫	809	fu1
密	810	mi4
睡	811	shui4
午	812	wu3
店	813	dian4
勢	814	shi4
悲	815	bei1
蘭	816	lan2
幕	817	mu4
緣	818	yuan2
週	819	zhou1
廠	820	chang3
簽	821	qian1
坐	822	zuo4
香	823	xiang1
爽	824	shuang3
控	825	kong4
微	826	wei2
登	827	deng1
翻	828	fan1
普	829	pu3
蠻	830	man2
冷	831	leng3
威	832	wei1
毒	833	du2
俊	834	jun4
絡	835	lao4
輯	836	ji2
母	837	mu3
創	838	chuang4
堂	839	tang2
趙	840	zhao4
套	841	tao4
舊	842	jiu4
雜	843	za2
周	844	zhou1
述	845	shu4
恐	846	kong3
幸	847	xing4
亮	848	liang4
麗	849	li4
巴	850	ba1
禮	851	li3
酒	852	jiu3
仁	853	ren2
餐	854	can1
牌	855	pai2
突	856	tu2
腳	857	jiao3
劍	858	jian4
招	859	zhao1
吉	860	ji2
父	861	fu4
仔	862	zi3
典	863	dian3
搞	864	gao3
房	865	fang2
素	866	su4
防	867	fang2
授	868	shou4
充	869	chong1
草	870	cao3
暴	871	bao4
慮	872	lv4
紹	873	shao4
背	874	bei4
劉	875	liu2
委	876	wei3
府	877	fu3
景	878	jing3
憶	879	yi4
尤	880	you2
諸	881	zhu1
缺	882	que1
援	883	yuan2
漫	884	man2
琴	885	qin2
罵	886	ma4
純	887	chun2
尚	888	shang4
藝	889	yi4
惜	890	xi2
置	891	zhi4
益	892	yi4
姐	893	jie3
誠	894	cheng2
繼	895	ji4
湖	896	hu2
欲	897	yu4
麻	898	ma2
靠	899	kao4
肉	900	rou4
松	901	song1
刻	902	ke4
紀	903	ji4
退	904	tui4
既	905	ji4
含	906	han2
判	907	pan4
釋	908	shi4
皮	909	pi2
波	910	po1
承	911	cheng2
射	912	she4
堆	913	dui1
莫	914	mo4
製	915	zhi4
鍵	916	jian4
趕	917	gan3
旁	918	pang2
筆	919	bi3
扁	920	bian3
註	921	zhu4
奏	922	zou4
樹	923	shu4
律	924	lv4
鐵	925	tie3
榮	926	rong2
昨	927	zuo2
毛	928	mao2
彩	929	cai3
歸	930	gui1
虎	931	hu3
罪	932	zui4
皆	933	jie1
葉	934	ye4
售	935	shou4
彈	936	dan4
衛	937	wei4
施	938	shi1
銘	939	ming2
刀	940	dao1
塊	941	kuai4
漢	942	han4
欣	943	xin1
布	944	bu4
賞	945	shang3
載	946	zai4
險	947	xian3
播	948	bo4
升	949	sheng1
鐘	950	zhong1
寄	951	ji4
弄	952	nong4
付	953	fu4
構	954	gou4
囉	955	luo1
磁	956	ci2
螢	957	ying2
偉	958	wei3
薦	959	jian4
洋	960	yang2
嘿	961	hei1
啟	962	qi3
梅	963	mei2
策	964	ce4
嘻	965	xi1
燈	966	deng1
鬼	967	gui3
檢	968	jian3
宣	969	xuan1
哦	970	o2
媽	971	ma1
均	972	jun1
派	973	pai4
豬	974	zhu1
濟	975	ji4
架	976	jia4
享	977	xiang3
呆	978	dai1
訓	979	xun4
藍	980	lan2
劃	981	hua2
擔	982	dan1
努	983	nu3
郭	984	guo1
歉	985	qian4
紙	986	zhi3
貼	987	tie1
暗	988	an4
呼	989	hu1
罷	990	ba4
巧	991	qiao3
慧	992	hui4
穿	993	chuan1
詳	994	xiang2
雷	995	lei2
協	996	xie2
督	997	du1
顧	998	gu4
臉	999	lian3
逢	1000	feng2
島	1001	dao3
獎	1002	jiang3
游	1003	you2
批	1004	pi1
略	1005	lue4
短	1006	duan3
幻	1007	huan4
沙	1008	sha1
散	1009	san4
敵	1010	di2
鄉	1011	xiang1
冊	1012	ce4
輪	1013	lun2
朝	1014	chao2
窗	1015	chuang1
忍	1016	ren3
河	1017	he2
藏	1018	cang2
衝	1019	chong1
混	1020	hun4
唯	1021	wei2
乾	1022	gan1
冠	1023	guan1
熟	1024	shou2
鷹	1025	ying1
蛋	1026	dan4
尊	1027	zun1
棄	1028	qi4
敬	1029	jing4
季	1030	ji4
婚	1031	hun1
縣	1032	xian4
緊	1033	jin3
伯	1034	bo2
申	1035	shen1
衣	1036	yi1
購	1037	gou4
僅	1038	jin3
帳	1039	zhang4
層	1040	ceng2
秋	1041	qiu1
猜	1042	cai1
偏	1043	pian1
鏡	1044	jing4
食	1045	shi2
喝	1046	he1
偷	1047	tou1
贊	1048	zan4
犯	1049	fan4
勇	1050	yong3
顆	1051	ke1
姓	1052	xing4
束	1053	shu4
淡	1054	dan4
詩	1055	shi1
嘉	1056	jia1
曉	1057	xiao3
借	1058	jie4
徒	1059	tu2
洲	1060	zhou1
擁	1061	yong3
序	1062	xu4
慶	1063	qing4
績	1064	ji1
祝	1065	zhu4
獅	1066	shi1
圍	1067	wei2
餘	1068	yu2
私	1069	si1
鬥	1070	dou4
柔	1071	rou2
漂	1072	piao1
富	1073	fu4
秀	1074	xiu4
範	1075	fan4
避	1076	bi4
輝	1077	hui1
譯	1078	yi4
孤	1079	gu1
笨	1080	ben4
括	1081	gua1
吸	1082	xi1
端	1083	duan1
移	1084	yi2
廳	1085	ting1
